ax_mean,ax_std,ax_min,ax_max,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_energy,az_mean,az_std,az_min,az_max,az_energy,gx_mean,gx_std,gx_min,gx_max,gx_energy,gy_mean,gy_std,gy_min,gy_max,gy_energy,gz_mean,gz_std,gz_min,gz_max,gz_energy,sma,label
-1619.56,681.7172275155274,-2164,976,3085389.28,-2344.46,946.4559804951709,-4980,-1716,6387792.72,14849.64,206.32849448922696,13780,15532,220554166.7,-282.94,462.8866998353076,-4417,1634,293247.82,-30.62,290.9765149652228,-2978,564,85181.58,-210.09,128.33296008125146,-1196,554,60524.81,6279.046666666667,0
-1333.5,722.7153084620714,-2164,976,2297928.08,-2673.82,1073.144427564184,-4980,-1716,8295194.16,14823.06,251.0184209140655,13780,15532,219785803,-230.13,532.1575815,-4417,1861,334735.55,1.205,341.6410043514557,-2978,1251,116136.435,-205.815,156.1882345056437,-1196,554,66632.605,6284.62,0
-1501.44,418.7896491691936,-1864,-212,2428829.92,-2244.88,738.3628403570297,-4576,-1732,5581940,14884.2,185.44755045524124,13928,15416,221573628.5,-147.275,252.16920094357798,-1248,1861,84961.285,38.8,175.39998796720164,-682,1251,32116.77,-200.115,92.01694062404512,-1030,214,48470.795,6210.173333333333,0
-1437.26,566.9857995438881,-1880,680,2385581.84,-2051.86,379.96908152450095,-3444,-1732,4353784.08,14931.2,190.75264838088515,13972,16084,222976938.1,-205.62,272.5047703238353,-2919,1320,116167.14,13.445,397.8064186366815,-3278,2119,157639.465,-202.07,122.48361637952661,-1247,364,55759.51,6154.2266666666665,0
-1408.68,556.2993460467667,-1880,680,2292300.96,-2035.98,390.5818872570339,-3444,-1628,4297006,14940.32,189.51760396083333,13972,16084,223248899,-205.135,274.3143609403096,-2919,1320,116952.495,12.625,398.0261277439387,-3278,2119,157792.065,-201.165,125.18006237047247,-1247,364,56059.055,6142.446666666667,0
-1606.12,72.58933570636569,-1804,-1396,2584864.32,-1809.78,104.53568840713572,-2148,-1564,3286176.72,14949.8,97.52041405,14684,15192,223505982.7,-195.775,65.04474204220264,-423,7,42537.515,8.795,36.38961383382454,-98,95,1394.935,-202.75,36.476432812896725,-331,-27,42431.44,6121.9,0
-1613.02,65.67775450779304,-1792,-1424,2606125.52,-1732.96,78.00656073426094,-1968,-1548,3009204.96,14960.22,92.13509635258161,14744,15204,223816628.9,-196.74,54.211315550061514,-357,7,41630.8,14.09,32.58852497120719,-55,95,1255.23,-203.005,24.243633055270262,-263,-149,41795.845,6102.066666666667,0
-1503.12,484.82054453375844,-1792,1348,2493245.44,-1810.38,477.5055953,-4152,-1536,3504347.28,14936.7,196.61106161083282,13392,15368,223143469.5,-236.645,200.12209583453304,-1688,-34,95849.465,-38.435,290.9638043679339,-2237,647,85713.885,-204.125,86.22105151074237,-864,301,49063.915,6099.76,0
-1385.58,704.7703525612058,-2160,1348,2414049.68,-2258.56,748.2194115626753,-4188,-1536,5658126.4,14872.7,215.28877416485756,13392,15368,221243322.8,-199.405,275.0917635387039,-1688,916,115059.455,-0.85,373.2555774943668,-2237,1617,138623.85,-211.305,112.17512320622455,-864,301,57170.145,6198.386666666666,0
-1054.1,737.2858483048165,-2180,408,1651999.28,-2792.22,592.0369671331861,-4188,-1936,8145247.76,14844.4,188.05580268798704,13836,15956,220391399.5,-182.21,247.79239547710378,-1191,916,94294.55,36.37,318.5369397888575,-1385,1617,102281.23,-218.82,111.49999481713489,-872,192,60252.28,6242.32,0
